Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Latitude,Longitude
Angola,AGO,9510,9473,14434,38598,12459,13768,10220,9812,9465,10530,8114,6909,5736,-11.202692,17.873887
Argentina,ARG,0,0,0,1,0,0,0,0,0,0,0,0,0,-38.416097,-63.616672
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,40.143105,47.576927
Bangladesh,BGD,484,470,598,574,505,501,508,228,154,47,37,36,11,23.684994,90.356331
Bhutan,BTN,15,14,11,14,7,5,7,2,2,4,2,1,1,27.514162,90.433601
Bolivia (Plurinational State of),BOL,11,0,4,1,3,0,0,0,0,0,0,0,0,-16.290154,-63.588653
Brazil,BRA,243,142,93,103,100,122,105,93,67,85,76,69,64,-14.235004,-51.92528
Burundi,BDI,691,417,483,425,689,776,434,167,595,1183,2677,2233,2263,-3.373056,29.918886
Chad,TCD,712,957,98,1021,13,558,837,617,1018,221,886,1220,1359,15.454166,18.732207
Colombia,COL,41,58,40,24,25,28,53,19,22,12,23,18,20,4.570868,-74.297333
Costa Rica,CRI,0,0,0,0,0,0,0,0,0,1,0,0,0,9.748917,-83.753428
Democratic Republic of the Congo,COD,3856,416,2152,989,13613,15322,12970,14372,17940,21168,23476,23748,21601,-0.228021,15.827659
Dominican Republic,DOM,6,17,11,12,16,16,10,17,11,14,15,10,8,18.735693,-70.162651
Ecuador,ECU,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.831239,-78.183406
El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,13.794185,-88.89653
Gabon,GAB,2016,1693,1141,692,466,353,238,216,156,197,182,74,134,-0.803689,11.609444
Ghana,GHA,6108,1717,2376,2103,1575,2037,3125,4622,3889,3378,3859,3259,2855,7.946527,-1.023194
Haiti,HTI,16,62,76,102,23,29,32,28,17,6,0,3,0,18.971187,-72.285215
Kyrgyzstan,KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,41.20438,74.766098
Madagascar,MDG,591,742,575,817,715,699,441,428,355,348,427,398,552,-18.766947,46.869107
Mali,MLI,748,562,826,1309,1012,1285,1914,1782,1227,2331,3006,2128,1894,17.570692,-3.996166
Mexico,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,23.634501,-102.552784
Nicaragua,NIC,4,2,8,7,1,6,1,0,0,0,1,1,2,12.865416,-85.207229
Niger,NER,1244,2366,2769,2248,1333,2060,1150,1358,2461,2159,3929,2802,2825,17.607789,8.081666
Panama,PAN,1,1,2,4,2,1,1,1,1,0,1,0,0,8.537981,-80.782127
Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.442503,-58.443832
Peru,PER,20,25,12,9,6,4,6,2,2,2,0,0,2,-9.189967,-75.015152
Sao Tome and Principe,STP,254,248,321,193,169,85,26,3,16,23,14,19,7,0.18636,6.613081
Senegal,SEN,1275,1515,1226,1602,1524,1587,1678,1935,741,574,553,472,649,14.497401,-14.452362
South Africa,ZAF,424,81,96,142,88,63,87,37,43,45,83,54,72,-30.559482,22.937506
Sudan,SDN,2162,2252,2125,2479,1814,1789,1193,1254,1125,1142,1023,612,618,12.862807,30.217636
Suriname,SUR,24,23,15,18,7,1,1,1,0,0,1,1,0,3.919305,-56.027783
United Republic of Tanzania,TZA,379,1228,815,15251,19859,18322,20962,12593,12434,16776,15867,11806,7820,-6.369028,34.888822
Uzbekistan,UZB,0,0,0,0,0,0,0,1,0,0,0,0,0,41.377491,64.585262
Venezuela (Bolivarian Republic of),VEN,24,28,23,40,35,17,11,16,9,11,18,3,6,6.42375,-66.58973